======================================================================
NEURAL CRYPTOGRAPHY TRAINING RESULTS
======================================================================

Hyperparameters
Epochs      : 1000
Batch Size  : 256
Message Len : 64
Key Len     : 64
Learning Rate : 0.0008

Epoch 0108 | Bob=0.5023 | Eve=0.5023 | Gap=0.0000 | BobLoss=0.9958 | EveLoss=0.9992 | ABLoss=0.9958 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0109 | Bob=0.5016 | Eve=0.5016 | Gap=0.0000 | BobLoss=1.0005 | EveLoss=1.0031 | ABLoss=1.0005 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0110 | Bob=0.4919 | Eve=0.4919 | Gap=0.0000 | BobLoss=1.0057 | EveLoss=1.0002 | ABLoss=1.0058 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0111 | Bob=0.4952 | Eve=0.4952 | Gap=0.0000 | BobLoss=0.9951 | EveLoss=0.9977 | ABLoss=0.9951 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0112 | Bob=0.4999 | Eve=0.4999 | Gap=0.0000 | BobLoss=1.0005 | EveLoss=1.0031 | ABLoss=1.0005 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0113 | Bob=0.5001 | Eve=0.5001 | Gap=0.0000 | BobLoss=0.9967 | EveLoss=0.9999 | ABLoss=0.9967 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0114 | Bob=0.5064 | Eve=0.5064 | Gap=0.0000 | BobLoss=1.0051 | EveLoss=1.0008 | ABLoss=1.0051 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0115 | Bob=0.5021 | Eve=0.5021 | Gap=0.0000 | BobLoss=1.0005 | EveLoss=1.0027 | ABLoss=1.0005 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0116 | Bob=0.4990 | Eve=0.4990 | Gap=0.0000 | BobLoss=0.9968 | EveLoss=0.9953 | ABLoss=0.9968 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0117 | Bob=0.4963 | Eve=0.4963 | Gap=0.0000 | BobLoss=0.9997 | EveLoss=1.0017 | ABLoss=0.9997 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0118 | Bob=0.4977 | Eve=0.4977 | Gap=0.0000 | BobLoss=1.0020 | EveLoss=1.0014 | ABLoss=1.0020 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0119 | Bob=0.5024 | Eve=0.5024 | Gap=0.0000 | BobLoss=1.0002 | EveLoss=0.9959 | ABLoss=1.0002 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0120 | Bob=0.5005 | Eve=0.5005 | Gap=0.0000 | BobLoss=0.9967 | EveLoss=0.9983 | ABLoss=0.9967 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0121 | Bob=0.5010 | Eve=0.5010 | Gap=0.0000 | BobLoss=0.9955 | EveLoss=0.9991 | ABLoss=0.9955 | AB_STEPS=5 | EVE_STEPS=1
Epoch 0122 | Bob=0.5007 | Eve=0.5007 | Gap=0.0000 | BobLoss=1.0030 | EveLoss=0.9997 | ABLoss=1.0030 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0123 | Bob=0.5049 | Eve=0.5049 | Gap=0.0000 | BobLoss=0.9977 | EveLoss=0.9987 | ABLoss=0.9977 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0124 | Bob=0.4985 | Eve=0.4985 | Gap=0.0000 | BobLoss=0.9909 | EveLoss=0.9999 | ABLoss=0.9910 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0125 | Bob=0.4984 | Eve=0.4984 | Gap=0.0000 | BobLoss=1.0002 | EveLoss=1.0003 | ABLoss=1.0002 | AB_STEPS=2 | EVE_STEPS=1
